Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,14.535257130678772,25.9027201057674,inf,670.9509088777268,45,35,10
10,12.467749876571107,15.911108372551151,inf,253.16336964306734,45,35,10
20,12.310689431401384,14.403622714938804,inf,207.46434731430105,45,35,10
30,10.366309555753359,12.517671666076774,inf,156.6921039397013,45,35,10
40,14.375247460719597,18.905472696575814,inf,357.4168978809736,45,35,10
50,14.193907809751076,17.5342495979628,inf,307.4499089636586,45,35,10
60,22.621549274356436,30.686552357574467,inf,941.664495594159,45,35,10
70,13.881175461808818,22.212996418391604,inf,493.4172098834783,45,35,10
80,13.7449858993178,22.018707559821763,inf,484.8234826049521,45,35,10
90,10.63947631300168,18.948359321387265,inf,359.0403209724036,45,35,10
100,30.446628950312085,48.91076873304096,inf,2392.2632980570174,45,35,10
110,53.960663719688505,70.38882396499427,inf,4954.586539174952,45,35,10
120,83.82134549917772,92.41447152056297,inf,8540.434546424944,45,35,10
130,54.065376836631344,55.90297568488851,inf,3125.142690425236,45,35,10
140,10.557151363658237,16.164168194350257,inf,261.28033341524446,45,35,10
150,13.983026193087962,19.815888720714675,inf,392.66944579174714,45,35,10
160,21.190197790049403,25.710209253425678,inf,661.0148598549354,45,35,10
170,17.360095863341765,22.818154585664175,inf,520.668178695267,45,35,10
180,7.931473001709703,10.435741767602929,inf,108.90470624009231,45,35,10
190,10.018237806746312,19.57680703869664,inf,383.25137383036224,45,35,10
200,9.44716800191492,18.944787574515413,inf,358.9049762435136,45,35,10
210,10.128795363535755,19.363867698887738,inf,374.9593722600279,45,35,10
220,11.686983626846342,20.13291418113448,inf,405.33423342492586,45,35,10
230,9.56922225667135,12.198064939195552,inf,148.79278826083177,45,35,10
240,12.257991497993073,23.291992477200242,inf,542.5169135579528,45,35,10
250,12.284282982119686,22.702176113471033,inf,515.3888002870547,45,35,10
260,12.624886097832155,22.63113845671447,inf,512.1684278469806,45,35,10
270,15.16052370924026,30.31347347528006,inf,918.9066741365077,45,35,10
280,16.8430550144181,29.53254240309516,inf,872.1710607906136,45,35,10
290,15.407231616260706,30.98179232019964,inf,959.8714553719815,45,35,10
300,14.582393987096436,27.34326100931537,inf,747.6539226235461,45,35,10
310,16.719285450406197,27.485370792834768,inf,755.4456076196145,45,35,10
320,12.94501921049069,14.791503688161264,inf,218.78858135688824,45,35,10
330,12.183706399327571,14.330529241880686,inf,205.36406835239745,45,35,10
