Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,18.245722411387536,29.056840411793495,inf,844.2999747164355,30,35,10
10,15.323583077491477,26.73141971439996,inf,714.5687999474108,30,35,10
20,13.017665499591594,24.00955835451912,inf,576.4588923790587,30,35,10
30,13.01828435578436,15.60887868654798,inf,243.6370938513718,30,35,10
40,11.49883643730303,13.365841042965766,inf,178.64570678582817,30,35,10
50,10.749446660572943,14.07683035971825,inf,198.1571529762854,30,35,10
60,13.651647202343378,17.975912443011275,inf,323.1334281588076,30,35,10
70,22.583582551291652,30.9865062336197,inf,960.1635685661525,30,35,10
80,18.778764226558817,26.991270179360267,inf,728.5286658952228,30,35,10
90,10.63594404729794,19.41197912167257,inf,376.8249334202518,30,35,10
100,14.318299374297636,21.7103647408435,inf,471.3399371804606,30,35,10
110,18.42958433598283,34.208600022939,inf,1170.2283155294224,30,35,10
120,43.32794964298934,62.228758898312506,inf,3872.4184340243078,30,35,10
130,70.03317071708697,83.79605010990832,inf,7021.778014022268,30,35,10
140,107.46537935198613,110.65807834699312,inf,12245.210303449267,30,35,10
150,15.2035781880496,19.793965387593495,inf,391.80106576524923,30,35,10
160,13.848242062298121,21.177669541018936,inf,448.49368718860126,30,35,10
170,15.31200858439362,20.64164980592042,inf,426.07770671025446,30,35,10
180,17.57002040431811,23.2782707738792,inf,541.8778902220384,30,35,10
190,14.403617767710752,21.520160607426625,inf,463.11731256943676,30,35,10
200,9.433781483455101,11.147257100947638,inf,124.26134087462752,30,35,10
210,10.02935593451187,19.472845118920244,inf,379.191697025456,30,35,10
220,11.919317171102712,20.6519707208987,inf,426.5038946568572,30,35,10
230,11.545169621841104,19.51482420579036,inf,380.82836378290136,30,35,10
240,10.908611599521445,16.005946648756144,inf,256.190328122828,30,35,10
250,9.217792249803603,13.357411414970555,inf,178.4204397087857,30,35,10
260,13.063976136921548,23.823581541777,inf,567.5630374776978,30,35,10
270,12.167248320613401,21.84298778912937,inf,477.11611555605487,30,35,10
280,14.76798846262432,30.73759715055602,inf,944.7998785898696,30,35,10
290,28.506587998622035,32.65928167954822,inf,1066.6286798240742,30,35,10
300,15.128055667758028,30.058941032957296,inf,903.5399360228039,30,35,10
310,15.160765927583212,29.58369105404827,inf,875.1947763813756,30,35,10
320,13.274357636470361,25.207824940993437,inf,635.4344382557707,30,35,10
330,17.502094903885336,23.04974780531105,inf,531.2908738884416,30,35,10
340,15.728874390794259,17.651411738267623,inf,311.572336353852,30,35,10
