Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,13.3373557872051,26.43448944214885,inf,698.782232067079,45,30,5
5,12.445364833882902,25.461953557373693,inf,648.3110789578549,45,30,5
10,12.66095242523418,16.391389879139975,inf,268.6776621699724,45,30,5
15,11.538743616835266,13.862517675187801,inf,192.1693962948942,45,30,5
20,11.81974111020943,13.682626795448039,inf,187.2142760235127,45,30,5
25,9.95413068524568,11.793447526793948,inf,139.08540456724228,45,30,5
30,9.477639803696157,11.466440943092664,inf,131.47926790143177,45,30,5
35,7.692966529613968,8.850940236982087,inf,78.33914307862851,45,30,5
40,11.993174766867009,15.590899335668189,inf,243.07614209493877,45,30,5
45,15.083348666528883,19.394550593218582,inf,376.14859271291533,45,30,5
50,13.106110870721468,16.44308501952512,inf,270.3750449593315,45,30,5
55,16.857694781406412,20.41253789191539,inf,416.6717031888817,45,30,5
60,22.29746824464375,31.283120161460815,inf,978.633607036396,45,30,5
65,19.05919711390101,28.13806231558292,inf,791.7505508756277,45,30,5
70,13.052018769375412,22.5875182374204,inf,510.1959801257993,45,30,5
75,10.31268558188543,20.36576323305061,inf,414.7643120646761,45,30,5
80,13.360387700438144,22.553736695112544,inf,508.67103891246603,45,30,5
85,14.341158413314373,22.742149867704754,inf,517.2053806051433,45,30,5
90,8.265448033694499,10.42203978680481,inf,108.61891331774243,45,30,5
95,10.906640464865552,20.92516763656628,inf,437.86264061840086,45,30,5
100,19.841695361866687,36.196663657559206,inf,1310.1984599384675,45,30,5
105,33.58955304348363,53.26153711677401,inf,2836.7913360414955,45,30,5
110,49.6598187178128,66.75045362055187,inf,4455.623058549446,45,30,5
115,63.796698072128684,79.7376559606596,inf,6358.093778100513,45,30,5
120,80.41862167505043,90.18636692284751,inf,8133.580778742485,45,30,5
125,104.20612643770527,107.94250267602118,inf,11651.58388396284,45,30,5
130,55.549176409497825,57.30205203743417,inf,3283.525167700814,45,30,5
135,15.454945610013434,20.142532986858786,inf,405.72163512669437,45,30,5
140,11.05292134194061,16.995179312064124,inf,288.8361198492124,45,30,5
145,11.33817089655802,16.853081619102632,inf,284.026360060135,45,30,5
150,13.880746507949045,20.350917543584988,inf,414.1598448657952,45,30,5
155,13.813024488447251,20.018925020378383,inf,400.7573589715316,45,30,5
160,20.710018478977197,25.665702469143095,inf,658.7282832345779,45,30,5
165,16.810890310446602,22.89360549603309,inf,524.1171726079964,45,30,5
170,17.36138449726891,23.46796268132581,inf,550.745272412101,45,30,5
175,13.019936352565775,20.288915899187632,inf,411.64010836430873,45,30,5
180,7.953006284577617,10.531439048427883,inf,110.9112084307516,45,30,5
185,10.554352969636966,11.429473954179324,inf,130.63287486926353,45,30,5
190,6.407797654463108,7.484659513703995,inf,56.02012803607972,45,30,5
195,9.152854840799307,19.926623992525958,inf,397.07034373951115,45,30,5
200,9.390276022307964,19.853062845961023,inf,394.14410436567795,45,30,5
205,11.085327271018432,21.06405658900156,inf,443.69447998466,45,30,5
210,10.302502784280966,20.284629674668018,inf,411.4662010384224,45,30,5
215,11.965637848233836,21.260336488610385,inf,452.0019076089382,45,30,5
220,11.6658379909402,20.84937733052488,inf,434.6965350706048,45,30,5
225,10.83394741881969,14.527597294431192,inf,211.0510831491645,45,30,5
230,10.065491110684835,12.4710197006691,inf,155.52633237447682,45,30,5
235,8.752492426397948,12.078673620351685,inf,145.8943564269797,45,30,5
240,8.155855840509911,10.512799955498574,inf,110.51896290433082,45,30,5
245,12.399116936105859,24.30893121906507,inf,590.9241370132363,45,30,5
250,12.929667473619512,24.249917938605186,inf,588.0585200290856,45,30,5
255,12.302550421020051,23.75667506314632,inf,564.3796100559183,45,30,5
260,12.544738911689755,23.649536957633405,inf,559.3005983104683,45,30,5
265,13.798571125204615,25.210682425220515,inf,635.5785083453226,45,30,5
270,16.035754066892352,32.30909321114547,inf,1043.8775041264867,45,30,5
275,29.833952771079627,33.315044128561944,inf,1109.8921652880294,45,30,5
280,14.146582759889059,22.725945207095897,inf,516.468585555925,45,30,5
285,16.187258271180625,32.3286069681664,inf,1045.1388285021771,45,30,5
290,15.797927775831303,32.85702332351986,inf,1079.583981682328,45,30,5
295,15.419063576385504,31.606251031024655,inf,998.9551042361471,45,30,5
300,15.090279707955087,28.650027393436567,inf,820.8240696446657,45,30,5
305,14.082334478362156,27.026532755382036,inf,730.4334727777381,45,30,5
310,16.4580755227014,28.561967816884234,inf,815.7860055727307,45,30,5
315,17.25191953504578,23.24246803534639,inf,540.2123203740987,45,30,5
320,12.878664446672635,14.763449985200277,inf,217.95945546551005,45,30,5
325,13.60615733928975,15.055981939306813,inf,226.68259215673294,45,30,5
330,12.48613956386105,14.664985068080313,inf,215.06178704701853,45,30,5
335,12.484791827267747,14.581248636167562,inf,212.6128117897384,45,30,5
