Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,11.69498080842527,14.294298114202945,inf,204.32695857770588,30,15,15
15,15.092375683214227,34.6228632954487,inf,1198.742662775329,30,15,15
30,11.616273507661685,15.742147851856116,inf,247.8152189896981,30,15,15
45,7.867224552412751,9.26004533301429,inf,85.74843956947974,30,15,15
60,5.328645334364972,6.730577219772376,inf,45.30066971131884,30,15,15
75,17.76352923582625,20.820493706544447,inf,433.49295818425696,30,15,15
90,11.760533269637701,26.829461787752454,inf,719.8200198204692,30,15,15
105,8.661299034502402,11.261064233189002,inf,126.81156766400859,30,15,15
120,6.2448150056887375,7.749836529701896,inf,60.059966237101925,30,15,15
135,63.06004367360539,77.86440182632934,inf,6062.865071772079,30,15,15
150,15.796807339092823,22.267944170779014,inf,495.86133759293114,30,15,15
165,11.516776309514553,14.41103676514998,inf,207.6779806465044,30,15,15
180,15.980903272597299,26.445046144840727,inf,699.3404656027554,30,15,15
195,8.143305530999358,10.328979903978356,inf,106.6878258567887,30,15,15
210,6.091369701231568,8.03523045087685,inf,64.5649283986986,30,15,15
225,11.194639925078027,26.13007060262332,inf,682.7805896980794,30,15,15
240,11.561361643043364,16.31015758918107,inf,266.0212405839208,30,15,15
255,9.634096792764167,11.249867910167113,inf,126.55952799620776,30,15,15
270,6.420842023471947,7.619726821339181,inf,58.060236831835695,30,15,15
285,14.791439901729985,30.92777655367504,inf,956.5273625540517,30,15,15
300,13.720535754120164,28.11863700052634,inf,790.6577467673691,30,15,15
315,20.733177527905287,38.125148979122805,inf,1453.5269846803087,30,15,15
330,16.17893852062623,21.947291102805163,inf,481.68358675127075,30,15,15
345,10.140874197797748,12.271530194941443,inf,150.59045332535956,30,15,15
360,6.239294353759016,7.598550406748467,inf,57.737968283897295,30,15,15
