Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,10.441094902636749,14.9129953020682,inf,222.39742887950823,90,35,10
10,17.16485514438578,27.075140336371284,inf,733.0632242341993,90,35,10
20,16.433425161987543,23.351449391408448,inf,545.2901886795099,90,35,10
30,9.296905764624745,17.50235745425912,inf,306.3325164566598,90,35,10
40,11.45088603858437,20.673772844649857,inf,427.4048836321818,90,35,10
50,10.238013990862031,22.46659682617069,inf,504.7479729497029,90,35,10
60,10.152933560524666,22.51827752092929,inf,507.0728225095893,90,35,10
70,13.006581294536591,26.002635542275886,inf,676.1370551444292,90,35,10
80,15.558694391591208,25.117846057753805,inf,630.9061905810184,90,35,10
90,13.282194340229033,19.89972463509719,inf,395.999040552694,90,35,10
100,10.159896050606456,18.290481987326498,inf,334.54173132871506,90,35,10
110,7.126949746268133,17.68404024374831,inf,312.7252793425098,90,35,10
120,6.451612146411623,17.797453779452884,inf,316.7493610317617,90,35,10
130,6.342861932250007,17.045207088995276,inf,290.53908470673485,90,35,10
140,4.484280976653101,7.162929823516936,inf,51.30756365662835,90,35,10
150,9.63753614851407,20.31694015002392,inf,412.77805705965403,90,35,10
160,8.85420322247914,20.0478287109824,inf,401.91543602489025,90,35,10
170,9.633738073866283,19.652828080688323,inf,386.23365156909153,90,35,10
180,5.3751855756555305,7.591176545161876,inf,57.625961339815795,90,35,10
190,8.214917434539114,11.459860389467021,inf,131.32840014607524,90,35,10
200,14.683567065639155,22.42062798333605,inf,502.6845591671515,90,35,10
210,17.055608496069908,26.77961697201374,inf,717.1478851677665,90,35,10
220,13.132837995780365,26.201697262995857,inf,686.5289394616846,90,35,10
230,11.40158073795693,20.33429030444144,inf,413.4833621853011,90,35,10
240,16.292776591756514,34.297097513242996,inf,1176.2908978328987,90,35,10
250,17.193481911505973,34.00678972934118,inf,1156.4617476956246,90,35,10
260,17.524929617172372,30.572914022664957,inf,934.7030718372635,90,35,10
270,16.217832386493683,31.118534602734638,inf,968.363195821593,90,35,10
280,15.755081495429788,24.133115071973236,inf,582.4072430771017,90,35,10
