Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,6.007912445068359,8.573511028821327,inf,73.50509136132094,90,15,10
10,11.894245925794044,18.217377037490134,inf,331.8728261260728,90,15,10
20,17.24253338177999,21.508729270823903,inf,462.6254348455969,90,15,10
30,10.913048029209797,22.04446300471254,inf,485.9583491661399,90,15,10
40,15.118375166753928,29.098063164976605,inf,846.6972799529683,90,15,10
50,4.3432340572277734,7.068742658481127,inf,49.96712277183082,90,15,10
60,4.098596291740733,4.940811415906205,inf,24.411617447549073,90,15,10
70,13.354496632019679,27.59372268471427,inf,761.4135316009148,90,15,10
80,13.464214320480824,25.444809875729405,inf,647.4383496120166,90,15,10
90,13.98618642091751,24.198290485091597,inf,585.5572624008746,90,15,10
100,14.300171134869254,22.705122816138857,inf,515.5226020959493,90,15,10
110,6.594541859626768,10.660023963039142,inf,113.63611089256874,90,15,10
120,11.222014101346334,26.780366493544633,inf,717.1880295285681,90,15,10
130,8.124899502967796,24.624511959501557,inf,606.3665892436352,90,15,10
140,2.7812055289745348,4.283387286098444,inf,18.347406642709796,90,15,10
150,9.279927541812262,14.491363534409924,inf,209.9996170864257,90,15,10
160,6.921841694911321,12.431596443731491,inf,154.54459013979746,90,15,10
170,10.040372681617741,26.9613323084003,inf,726.91343984399,90,15,10
180,4.875175695617996,6.887896092882743,inf,47.44311258634936,90,15,10
190,4.519132003188133,5.579305386277032,inf,31.128648593339904,90,15,10
200,9.618356414635976,18.205657078498465,inf,331.44594965988125,90,15,10
210,10.724273624022802,20.166261430440596,inf,406.678100080876,90,15,10
220,11.235642898082734,27.92000524905948,inf,779.5266931075089,90,15,10
230,7.820681751271087,13.137444803470519,inf,172.59245596423455,90,15,10
240,15.352743081996838,33.369488935797,inf,1113.5227918362784,90,15,10
250,14.969682643314203,35.616379163227826,inf,1268.5264646988094,90,15,10
260,20.13471771279971,38.62594128966561,inf,1491.9633405126947,90,15,10
270,13.021725217501322,26.635618425253156,inf,709.4561688956854,90,15,10
280,18.22054473956426,29.55983110496233,inf,873.7836149538986,90,15,10
290,4.890493290623029,6.940335717426181,inf,48.16825987058158,90,15,10
300,8.95821098635594,12.60227753755914,inf,158.81739913366766,90,15,10
