Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,30.612762605425296,40.918482103463624,inf,1674.322177651473,30,30,15
15,12.573803539017073,26.34536649091257,inf,694.078335540499,30,30,15
30,15.139736216177596,23.186609799014878,inf,537.6188739717727,30,30,15
45,12.154740136827607,16.57661745010815,inf,274.78424608723003,30,30,15
60,8.5039630934438,10.195401234220917,inf,103.94620632675338,30,30,15
75,17.966630016324,27.304403792858892,inf,745.5304664834871,30,30,15
90,19.178007300664223,23.737370338036225,inf,563.4627505650819,30,30,15
105,19.400637044283016,21.372298309457346,inf,456.77513502843334,30,30,15
120,16.847545506652594,28.53143199003773,inf,814.0426114021484,30,30,15
135,13.314832795960593,28.257405965104326,inf,798.4809918767135,30,30,15
150,23.570843378837264,28.088634588535964,inf,788.971393048299,30,30,15
165,29.984543032577466,37.11677110962411,inf,1377.654697604227,30,30,15
180,25.329214117473498,30.96904055551656,inf,959.0814729292294,30,30,15
195,15.336903711307817,20.566463833948966,inf,422.9794346331308,30,30,15
210,10.262863341629986,22.23986384251201,inf,494.61154373347296,30,30,15
225,6.518159350224973,18.54677130353084,inf,343.98272578547505,30,30,15
240,14.214806142007323,20.348173038496636,inf,414.04814600460145,30,30,15
255,9.466062214031009,13.942756600123202,inf,194.4004616102791,30,30,15
270,11.712332896455159,21.75096676429755,inf,473.10455518157676,30,30,15
285,13.223738751458807,31.31656248902455,inf,980.7270861289795,30,30,15
300,18.83911008680456,37.07327333702225,inf,1374.427595921565,30,30,15
315,15.738860098313998,33.39918458453541,inf,1115.5055309118677,30,30,15
330,11.940199219691134,24.58964710056686,inf,604.6507445304162,30,30,15
345,14.6752953059699,18.486531185245283,inf,341.7518352630464,30,30,15
