Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,26.775887264807437,35.19075534604188,inf,1238.3892618249754,45,35,10
10,11.252590848052678,15.128069670875803,inf,228.85849196687232,45,35,10
20,14.116084752261717,20.042034470865268,inf,401.68314573135166,45,35,10
30,9.74281613740216,13.663852835397991,inf,186.70087430741373,45,35,10
40,11.998345148852458,16.856597655629255,inf,284.1448845237657,45,35,10
50,12.44513764173848,16.906166739866965,inf,285.818473836184,45,35,10
60,15.827700320177854,23.5829739041599,inf,556.1566581642869,45,35,10
70,10.86834648864106,19.231905398738053,inf,369.8661852660099,45,35,10
80,9.665587268827446,18.215570183339914,inf,331.8069971041821,45,35,10
90,21.097463128440943,24.11316199947409,inf,581.4445816128814,45,35,10
100,13.845742381928023,23.60309602236155,inf,557.1061418408196,45,35,10
110,13.572428729857526,28.026629286646614,inf,785.4919491711177,45,35,10
120,12.754296296669347,27.735167455495443,inf,769.2395137843736,45,35,10
130,28.228356810831716,32.63847199339822,inf,1065.26985406384,45,35,10
140,19.77236264812205,24.435097239923547,inf,597.0739771245194,45,35,10
150,12.92712540131904,24.419349612349837,inf,596.3046354901702,45,35,10
160,31.01603595001524,34.608918229274934,inf,1197.7772210006387,45,35,10
170,26.753873917311733,31.72209467255073,inf,1006.2912904142712,45,35,10
180,6.803452382532909,11.516903695700867,inf,132.6390707360483,45,35,10
190,17.838933911980227,23.89858964269847,inf,571.1425869100947,45,35,10
200,16.62962783484426,22.9636663641082,inf,527.3299728820743,45,35,10
210,8.495820922656291,19.00983699610101,inf,361.3739026183307,45,35,10
220,12.565234823301205,20.71228599507834,inf,428.9987911419183,45,35,10
230,10.476440639868818,16.902739054421872,inf,285.70258754187836,45,35,10
240,10.061201624763388,21.19445109697449,inf,449.2047573020431,45,35,10
250,14.436798062458866,24.47685629336784,inf,599.1164940061809,45,35,10
260,13.355121499168368,23.3229553088904,inf,543.9602443404989,45,35,10
270,13.893498517960886,28.788163324027266,inf,828.7583475708686,45,35,10
280,17.542484184278937,31.096887251272815,inf,967.0163967183737,45,35,10
290,12.896065475000974,31.660563188753716,inf,1002.391261429067,45,35,10
300,15.889399983196796,29.763028087481807,inf,885.8378409362309,45,35,10
310,13.772736963826073,26.515346790371552,inf,703.063615413667,45,35,10
320,15.86090973807999,25.16788479504521,inf,633.422425056668,45,35,10
330,13.33818778677724,16.04960619895807,inf,257.5898591416333,45,35,10
