Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,16.49996901624241,18.223749776936828,inf,332.1050559324051,30,15,10
10,21.227514930022057,39.02987080448696,inf,1523.330815014944,30,15,10
20,13.833613416186381,32.969654280586774,inf,1086.9981033814136,30,15,10
30,13.066245530182995,21.126899835405922,inf,446.3458966552747,30,15,10
40,17.126209344934068,20.22892192838467,inf,409.20928238468207,30,15,10
50,7.026058318049002,15.336531659584221,inf,235.20920334542913,30,15,10
60,5.136696684687724,6.227933930736738,inf,38.78716104562195,30,15,10
70,9.231087334514747,13.657352264232795,inf,186.52327086934466,30,15,10
80,14.420028666294781,17.363293479112798,inf,301.483960441801,30,15,10
90,16.869304655854403,24.868709636203516,inf,618.4527189698016,30,15,10
100,11.036332523862923,25.819006018436554,inf,666.6210717800631,30,15,10
110,7.159191033506578,12.860555809826595,inf,165.3938957376646,30,15,10
120,8.80228141185055,11.936542832266836,inf,142.48105478654077,30,15,10
130,20.32370525228111,35.80167698577788,inf,1281.7600749939777,30,15,10
140,18.981535711994276,26.642252034971374,inf,709.8095934949363,30,15,10
150,17.961294534293717,21.325785330498768,inf,454.7891199625165,30,15,10
160,13.456280888319617,26.752650971986128,inf,715.7043340289104,30,15,10
170,18.55287753453744,34.60286211930317,inf,1197.3580668475063,30,15,10
180,22.969956499498704,33.474515829199156,inf,1120.5432099993047,30,15,10
190,9.765770058017518,25.52108863557501,inf,651.3259651448758,30,15,10
200,9.477916763599966,14.896405751238087,inf,221.90290430551912,30,15,10
210,6.642264902233746,13.373451379595316,inf,178.84920180239988,30,15,10
220,10.44958636839491,11.400450961873268,inf,129.97028213407714,30,15,10
230,10.881500550185313,26.840224047141707,inf,720.3976269007638,30,15,10
240,11.407189681662434,18.21337247489482,inf,331.7269369092562,30,15,10
250,13.122787443022371,19.08655818565323,inf,364.2967033743264,30,15,10
260,9.894543523220456,13.805084911678735,inf,190.58036941865987,30,15,10
270,6.074433676835133,6.766959848161031,inf,45.79174558662357,30,15,10
280,12.658618433412437,29.71671734931504,inf,883.0832900190815,30,15,10
290,24.04302145302747,27.979060797326184,inf,782.827843100475,30,15,10
300,18.017741391282076,36.80188247722426,inf,1354.378553867426,30,15,10
310,20.881090253572957,38.847567246794,inf,1509.133480994182,30,15,10
320,21.674053182789983,37.73192969329733,inf,1423.698518379933,30,15,10
330,12.145009072160715,25.026366224604498,inf,626.3190064080247,30,15,10
340,22.948330078967164,23.63757392386529,inf,558.7349010061963,30,15,10
350,9.94906630560866,16.788575157631264,inf,281.8562558234337,30,15,10
360,3.7601903838723802,4.6975879786356955,inf,22.067332817022603,30,15,10
