Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,26.775887264807437,35.19075534604188,inf,1238.3892618249754,45,35,15
15,11.40474378558232,16.170948779873065,inf,261.49958444127816,45,35,15
30,9.74281613740216,13.663852835397991,inf,186.70087430741373,45,35,15
45,11.680493760422246,16.376689079614362,inf,268.1959452103603,45,35,15
60,15.827700320177854,23.5829739041599,inf,556.1566581642869,45,35,15
75,10.156603815123836,18.18962441159103,inf,330.8624362347484,45,35,15
90,21.097463128440943,24.11316199947409,inf,581.4445816128814,45,35,15
105,9.861156767651638,22.29822777397441,inf,497.2109618600438,45,35,15
120,12.754296296669347,27.735167455495443,inf,769.2395137843736,45,35,15
135,25.11970262109908,28.690203706705987,inf,823.1277887322859,45,35,15
150,12.92712540131904,24.419349612349837,inf,596.3046354901702,45,35,15
165,32.75451238175926,36.3872862289683,inf,1324.034599108866,45,35,15
180,6.803452382532909,11.516903695700867,inf,132.6390707360483,45,35,15
195,14.104366599358352,20.650240668831522,inf,426.4324396806633,45,35,15
210,8.495820922656291,19.00983699610101,inf,361.3739026183307,45,35,15
225,13.40088889528902,16.64128674335894,inf,276.93242447469396,45,35,15
240,10.061201624763388,21.19445109697449,inf,449.2047573020431,45,35,15
255,12.01089208750578,22.365755286886642,inf,500.22700955289775,45,35,15
270,13.893498517960886,28.788163324027266,inf,828.7583475708686,45,35,15
285,16.40366255380704,32.941514220695794,inf,1085.143359152303,45,35,15
300,15.889399983196796,29.763028087481807,inf,885.8378409362309,45,35,15
315,12.574246841173375,20.128692602640225,inf,405.1642658915833,45,35,15
330,13.33818778677724,16.04960619895807,inf,257.5898591416333,45,35,15
