Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,87.09264945983887,92.43684233415054,inf,8544.569820708606,30,30,15
15,77.2470162709554,83.46024505293241,,6965.612504295529,30,30,15
30,55.22881685892741,64.2057848870773,,4122.382812965644,30,30,15
45,39.08728345235189,47.17926877795952,,2225.883402422946,30,30,15
60,48.870517349243165,59.64000226703577,,3556.9298704120315,30,30,15
75,60.49938367207845,66.28069115745528,inf,4393.130020309971,30,30,15
90,55.82384986877442,62.896313738186436,,3955.94628185238,30,30,15
105,57.765816116333006,64.08853027180993,inf,4107.339712400698,30,30,15
120,52.73595008850098,59.87686235258646,,3585.238645190585,30,30,15
135,37.34465014139811,47.61683312829667,,2267.362797168051,30,30,15
150,27.765516789754233,34.781352769967754,,1209.7425005089437,30,30,15
165,41.81785036722819,51.40781020737658,,2642.7629503176513,30,30,15
180,55.56898358662923,62.94221875659497,,3961.7229020030554,30,30,15
195,59.95785001118978,65.96178570302274,inf,4350.9571731314945,30,30,15
210,65.49641609191895,70.54931638010497,inf,4977.206041700148,30,30,15
225,57.36358299255371,64.97924311251671,,4222.302035475551,30,30,15
240,43.671150588989256,52.9736407415799,,2806.2066134179736,30,30,15
255,34.455950546264646,41.77768345243779,,1745.3748346520943,30,30,15
270,54.142517217000325,62.97676408078755,,3966.0728140871724,30,30,15
285,71.73065020243327,79.00197695391486,,6241.312362626895,30,30,15
300,78.54418347676595,84.78960970653347,,7189.277914186276,30,30,15
315,84.89648323059082,90.08496508689319,inf,8115.300934706766,30,30,15
330,81.58791720072428,87.98840560090885,,7741.9595201900465,30,30,15
345,65.99148470560709,75.82752076394782,,5749.812905206937,30,30,15
