Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,48.480943407331196,59.36950776998266,,3524.7384528500315,90,35,5
5,43.50591506958008,54.042614090473464,,2920.604137731841,90,35,5
10,59.68048607962472,66.5729610277203,,4431.959139998366,90,35,5
15,61.98254296439035,67.57752424418608,inf,4566.721782973558,90,35,5
20,23.03960015433175,30.553177964023334,,933.496683701281,90,35,5
25,52.81228517804827,61.20590044291873,,3746.16224902848,90,35,5
30,56.179657091413226,63.50973721647343,,4033.486721305511,90,35,5
35,40.18902816772461,50.32908678072632,,2533.0169761818806,90,35,5
40,35.59688557216099,46.21925470265673,,2136.219505269056,90,35,5
45,56.98619962419782,63.73487620205758,inf,4062.1344444916053,90,35,5
50,50.100771113804406,58.7884210720277,,3456.0784521420305,90,35,5
55,19.517143140520368,27.848215547402972,,775.5231091746167,90,35,5
60,53.96945724487305,61.42657860419882,,3773.2245590178163,90,35,5
65,59.052600206647604,64.95174540574901,inf,4218.729231253238,90,35,5
70,30.06094284057617,40.54603057548898,,1643.980595428487,90,35,5
75,38.49948588779994,49.23380682429367,,2423.9677344118663,90,35,5
80,62.34680012294224,68.39470776251086,inf,4677.836049919263,90,35,5
85,59.29105736868722,66.01185436819685,,4357.564917128029,90,35,5
90,26.22451444353376,33.253368019800746,,1105.7864846603068,90,35,5
95,60.69514280046735,67.46926962561072,,4552.102343813358,90,35,5
100,64.74208602905273,70.6514842399472,inf,4991.632225307506,90,35,5
105,41.9578004019601,51.92667680304895,,2696.3797638083015,90,35,5
110,41.64088625226702,51.470380504539094,,2649.200069282038,90,35,5
115,61.779400307791576,67.82318171531882,inf,4599.983977989157,90,35,5
120,57.773628561837334,64.81892093461872,,4201.492511128352,90,35,5
125,23.635085732596263,30.67928047591486,,941.2182505198509,90,35,5
130,57.593713923863,64.67673022489844,,4183.079432584292,90,35,5
135,60.707657187325616,66.8955260863521,inf,4475.011410369815,90,35,5
140,43.08779961722238,52.655950891206025,,2772.649164257101,90,35,5
145,37.26077128819057,46.98390757285729,,2207.487570814797,90,35,5
150,64.54928534371513,70.17070580970112,inf,4923.927953831623,90,35,5
155,65.39994277954102,70.88425964616304,inf,5024.578265584659,90,35,5
160,28.061113956996373,35.356963737312476,,1250.1148847216296,90,35,5
165,59.20657119750977,66.9528935314062,,4482.689952227815,90,35,5
170,66.61051450456891,71.87740738971627,inf,5166.361693067239,90,35,5
175,48.30462875366211,57.52798859557832,,3309.469471852989,90,35,5
180,44.893343571254185,54.637626700713454,,2985.270251486516,90,35,5
185,68.96105749947684,74.75703896768592,inf,5588.61487521611,90,35,5
190,70.31448593139649,75.36850274330811,inf,5680.411205768043,90,35,5
195,34.20831484113421,41.960839053479376,,1760.7120140719996,90,35,5
200,70.362829044887,76.93273184328037,,5918.645228870085,90,35,5
205,75.99837243216378,81.2590644908233,inf,6603.035561923781,90,35,5
210,55.24094336373465,64.65065514065857,,4179.707210116363,90,35,5
215,56.64008603777204,66.25407323952211,,4389.602220827961,90,35,5
220,80.7678572518485,85.84087547792527,inf,7368.655902816671,90,35,5
225,74.54191404070173,81.70100956020276,,6675.054963156344,90,35,5
230,44.9777715410505,54.37751546176348,,2956.9141877943266,90,35,5
235,80.06085695539203,86.24508510271035,,7438.214704373751,90,35,5
240,80.16680025373186,86.43668727163852,,7471.3009064950365,90,35,5
245,62.50297099522182,72.29696971016683,,5226.851829272781,90,35,5
250,62.619085802350725,72.57270518144409,,5266.797537352802,90,35,5
255,85.2267716544015,90.5696342492244,inf,8202.858648038282,90,35,5
260,82.01162905011859,88.33886771711624,,7803.755549542162,90,35,5
265,48.30520095825195,58.393757594480775,,3409.8309260029814,90,35,5
270,83.74000080653599,90.20764728067813,,8137.419627915237,90,35,5
275,87.86423001970563,93.13295814474898,inf,8673.747892791567,90,35,5
280,69.47065832955496,79.2168696760222,,6275.312441267886,90,35,5
285,65.96762967790876,76.17324641241649,,5802.363469006722,90,35,5
