Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,48.870517349243165,59.64000226703577,,3556.9298704120315,90,30,15
15,60.49938367207845,66.28069115745528,inf,4393.130020309971,90,30,15
30,55.82384986877442,62.896313738186436,,3955.94628185238,90,30,15
45,57.765816116333006,64.08853027180993,inf,4107.339712400698,90,30,15
60,52.73595008850098,59.87686235258646,,3585.238645190585,90,30,15
75,37.34465014139811,47.61683312829667,,2267.362797168051,90,30,15
90,27.765516789754233,34.781352769967754,,1209.7425005089437,90,30,15
105,41.81785036722819,51.40781020737658,,2642.7629503176513,90,30,15
120,55.56898358662923,62.94221875659497,,3961.7229020030554,90,30,15
135,59.95785001118978,65.96178570302274,inf,4350.9571731314945,90,30,15
150,65.49641609191895,70.54931638010497,inf,4977.206041700148,90,30,15
165,57.36358299255371,64.97924311251671,,4222.302035475551,90,30,15
180,43.671150588989256,52.9736407415799,,2806.2066134179736,90,30,15
195,34.455950546264646,41.77768345243779,,1745.3748346520943,90,30,15
210,54.142517217000325,62.97676408078755,,3966.0728140871724,90,30,15
225,71.73065020243327,79.00197695391486,,6241.312362626895,90,30,15
240,78.54418347676595,84.78960970653347,,7189.277914186276,90,30,15
255,84.89648323059082,90.08496508689319,inf,8115.300934706766,90,30,15
270,81.58791720072428,87.98840560090885,,7741.9595201900465,90,30,15
285,65.99148470560709,75.82752076394782,,5749.812905206937,90,30,15
