Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,77.2470162709554,83.46024505293241,,6965.612504295529,45,30,15
15,55.22881685892741,64.2057848870773,,4122.382812965644,45,30,15
30,39.08728345235189,47.17926877795952,,2225.883402422946,45,30,15
45,48.870517349243165,59.64000226703577,,3556.9298704120315,45,30,15
60,60.49938367207845,66.28069115745528,inf,4393.130020309971,45,30,15
75,55.82384986877442,62.896313738186436,,3955.94628185238,45,30,15
90,57.765816116333006,64.08853027180993,inf,4107.339712400698,45,30,15
105,52.73595008850098,59.87686235258646,,3585.238645190585,45,30,15
120,37.34465014139811,47.61683312829667,,2267.362797168051,45,30,15
135,27.765516789754233,34.781352769967754,,1209.7425005089437,45,30,15
150,41.81785036722819,51.40781020737658,,2642.7629503176513,45,30,15
165,55.56898358662923,62.94221875659497,,3961.7229020030554,45,30,15
180,59.95785001118978,65.96178570302274,inf,4350.9571731314945,45,30,15
195,65.49641609191895,70.54931638010497,inf,4977.206041700148,45,30,15
210,57.36358299255371,64.97924311251671,,4222.302035475551,45,30,15
225,43.671150588989256,52.9736407415799,,2806.2066134179736,45,30,15
240,34.455950546264646,41.77768345243779,,1745.3748346520943,45,30,15
255,54.142517217000325,62.97676408078755,,3966.0728140871724,45,30,15
270,71.73065020243327,79.00197695391486,,6241.312362626895,45,30,15
285,78.54418347676595,84.78960970653347,,7189.277914186276,45,30,15
300,84.89648323059082,90.08496508689319,inf,8115.300934706766,45,30,15
315,81.58791720072428,87.98840560090885,,7741.9595201900465,45,30,15
330,65.99148470560709,75.82752076394782,,5749.812905206937,45,30,15
