Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,77.31808569771903,83.48258797764184,,6969.34249544471,45,35,5
5,79.62262932913644,85.27474555140421,inf,7271.782228856731,45,35,5
10,60.16694303240095,69.71884026887605,,4860.716688437053,45,35,5
15,54.79134314400809,64.03047734233965,,4099.902028687872,45,35,5
20,75.10162865774971,80.5378616174009,inf,6486.347153903619,45,35,5
25,75.12019991193499,80.6407422322158,inf,6502.9293077626735,45,35,5
30,36.54088603428432,44.91225903387932,,2017.111011526275,45,35,5
35,68.02228578839983,74.2147600780459,,5507.830613441915,45,35,5
40,68.1116578238351,74.53523319467952,inf,5555.500987385257,45,35,5
45,48.480943407331196,59.36950776998266,,3524.7384528500315,45,35,5
50,43.50591506958008,54.042614090473464,,2920.604137731841,45,35,5
55,59.68048607962472,66.5729610277203,,4431.959139998366,45,35,5
60,61.98254296439035,67.57752424418608,inf,4566.721782973558,45,35,5
65,23.03960015433175,30.553177964023334,,933.496683701281,45,35,5
70,52.81228517804827,61.20590044291873,,3746.16224902848,45,35,5
75,56.179657091413226,63.50973721647343,,4033.486721305511,45,35,5
80,40.18902816772461,50.32908678072632,,2533.0169761818806,45,35,5
85,35.59688557216099,46.21925470265673,,2136.219505269056,45,35,5
90,56.98619962419782,63.73487620205758,inf,4062.1344444916053,45,35,5
95,50.100771113804406,58.7884210720277,,3456.0784521420305,45,35,5
100,19.517143140520368,27.848215547402972,,775.5231091746167,45,35,5
105,53.96945724487305,61.42657860419882,,3773.2245590178163,45,35,5
110,59.052600206647604,64.95174540574901,inf,4218.729231253238,45,35,5
115,30.06094284057617,40.54603057548898,,1643.980595428487,45,35,5
120,38.49948588779994,49.23380682429367,,2423.9677344118663,45,35,5
125,62.34680012294224,68.39470776251086,inf,4677.836049919263,45,35,5
130,59.29105736868722,66.01185436819685,,4357.564917128029,45,35,5
135,26.22451444353376,33.253368019800746,,1105.7864846603068,45,35,5
140,60.69514280046735,67.46926962561072,,4552.102343813358,45,35,5
145,64.74208602905273,70.6514842399472,inf,4991.632225307506,45,35,5
150,41.9578004019601,51.92667680304895,,2696.3797638083015,45,35,5
155,41.64088625226702,51.470380504539094,,2649.200069282038,45,35,5
160,61.779400307791576,67.82318171531882,inf,4599.983977989157,45,35,5
165,57.773628561837334,64.81892093461872,,4201.492511128352,45,35,5
170,23.635085732596263,30.67928047591486,,941.2182505198509,45,35,5
175,57.593713923863,64.67673022489844,,4183.079432584292,45,35,5
180,60.707657187325616,66.8955260863521,inf,4475.011410369815,45,35,5
185,43.08779961722238,52.655950891206025,,2772.649164257101,45,35,5
190,37.26077128819057,46.98390757285729,,2207.487570814797,45,35,5
195,64.54928534371513,70.17070580970112,inf,4923.927953831623,45,35,5
200,65.39994277954102,70.88425964616304,inf,5024.578265584659,45,35,5
205,28.061113956996373,35.356963737312476,,1250.1148847216296,45,35,5
210,59.20657119750977,66.9528935314062,,4482.689952227815,45,35,5
215,66.61051450456891,71.87740738971627,inf,5166.361693067239,45,35,5
220,48.30462875366211,57.52798859557832,,3309.469471852989,45,35,5
225,44.893343571254185,54.637626700713454,,2985.270251486516,45,35,5
230,68.96105749947684,74.75703896768592,inf,5588.61487521611,45,35,5
235,70.31448593139649,75.36850274330811,inf,5680.411205768043,45,35,5
240,34.20831484113421,41.960839053479376,,1760.7120140719996,45,35,5
245,70.362829044887,76.93273184328037,,5918.645228870085,45,35,5
250,75.99837243216378,81.2590644908233,inf,6603.035561923781,45,35,5
255,55.24094336373465,64.65065514065857,,4179.707210116363,45,35,5
260,56.64008603777204,66.25407323952211,,4389.602220827961,45,35,5
265,80.7678572518485,85.84087547792527,inf,7368.655902816671,45,35,5
270,74.54191404070173,81.70100956020276,,6675.054963156344,45,35,5
275,44.9777715410505,54.37751546176348,,2956.9141877943266,45,35,5
280,80.06085695539203,86.24508510271035,,7438.214704373751,45,35,5
285,80.16680025373186,86.43668727163852,,7471.3009064950365,45,35,5
290,62.50297099522182,72.29696971016683,,5226.851829272781,45,35,5
295,62.619085802350725,72.57270518144409,,5266.797537352802,45,35,5
300,85.2267716544015,90.5696342492244,inf,8202.858648038282,45,35,5
305,82.01162905011859,88.33886771711624,,7803.755549542162,45,35,5
310,48.30520095825195,58.393757594480775,,3409.8309260029814,45,35,5
315,83.74000080653599,90.20764728067813,,8137.419627915237,45,35,5
320,87.86423001970563,93.13295814474898,inf,8673.747892791567,45,35,5
325,69.47065832955496,79.2168696760222,,6275.312441267886,45,35,5
330,65.96762967790876,76.17324641241649,,5802.363469006722,45,35,5
